Mulberry Silk,1,#94766C,"rgb(148, 118, 108)"
Chelsea Mauve,2,#BEAC9F,"rgb(190, 172, 159)"
Cabbage Rose,3,#C59F91,"rgb(197, 159, 145)"
Rose Brocade,4,#996C6E,"rgb(153, 108, 110)"
Deepest Mauve,5,#6D595A,"rgb(109, 89, 90)"
Toile Red,6,#8B534E,"rgb(139, 83, 78)"
Decorous Amber,7,#AC7559,"rgb(172, 117, 89)"
Cajun Red,8,#8D422F,"rgb(141, 66, 47)"
Eastlake Gold,9,#C28E61,"rgb(194, 142, 97)"
Wickerwork,10,#C19E80,"rgb(193, 158, 128)"
Crewel Tan,11,#CBB99B,"rgb(203, 185, 155)"
Empire Gold,12,#C19F6E,"rgb(193, 159, 110)"
Majolica Green,13,#AEB08F,"rgb(174, 176, 143)"
Sheraton Sage,14,#8F8666,"rgb(143, 134, 102)"
Gallery Green,15,#708672,"rgb(112, 134, 114)"
Billiard Green,16,#45584D,"rgb(69, 88, 77)"
Calico,17,#8CA49C,"rgb(140, 164, 156)"
Teal Stencil,18,#627F7B,"rgb(98, 127, 123)"
Festoon Aqua,19,#A0BBB8,"rgb(160, 187, 184)"
Peacock Plume,20,#739694,"rgb(115, 150, 148)"
Queen Anne Lilac,21,#C0B6B4,"rgb(192, 182, 180)"
Patchwork Plum,22,#7E696A,"rgb(126, 105, 106)"
Pewter Tankard,23,#A39B90,"rgb(163, 155, 144)"
Curio Gray,24,#988977,"rgb(152, 137, 119)"
Rosedust,25,#CC8D84,"rgb(204, 141, 132)"
Rachel Pink,26,#E8B9AE,"rgb(232, 185, 174)"
Aristocrat Peach,27,#ECCEB9,"rgb(236, 206, 185)"
Caen Stone,28,#ECD0B1,"rgb(236, 208, 177)"
Acanthus,29,#CDCDB4,"rgb(205, 205, 180)"
Colonial Yellow,30,#EFC488,"rgb(239, 196, 136)"
Dutch Tile Blue,31,#9AABAB,"rgb(154, 171, 171)"
Needlepoint Navy,32,#546670,"rgb(84, 102, 112)"
Rembrandt Ruby,33,#974F49,"rgb(151, 79, 73)"
Roycroft Rose,34,#C08F80,"rgb(192, 143, 128)"
Indian White,35,#EEDAC3,"rgb(238, 218, 195)"
Buckram Binding,36,#D9C3A6,"rgb(217, 195, 166)"
Morris Room Grey,37,#ADA193,"rgb(173, 161, 147)"
Library Pewter,38,#7F7263,"rgb(127, 114, 99)"
Portrait Tone,39,#C4957A,"rgb(196, 149, 122)"
Roycroft Adobe,40,#A76251,"rgb(167, 98, 81)"
Dard Hunter Green,41,#3A4A3F,"rgb(58, 74, 63)"
Ruskin Room Green,42,#ACA17D,"rgb(172, 161, 125)"
Peristyle Brass,43,#AE905E,"rgb(174, 144, 94)"
Hubbard Squash,44,#E9BF8C,"rgb(233, 191, 140)"
Antiquarian Brown,45,#946644,"rgb(148, 102, 68)"
White Hyacinth,46,#F3E5D1,"rgb(243, 229, 209)"
Studio Blue Green,47,#6D817B,"rgb(109, 129, 123)"
Bunglehouse Blue,48,#47626F,"rgb(71, 98, 111)"
Silver Gray,49,#B8B2A2,"rgb(184, 178, 162)"
Classic Light Buff,50,#F0EADC,"rgb(240, 234, 220)"
Classic Ivory,51,#F2E0C3,"rgb(242, 224, 195)"
Pearl Gray,52,#CBCEC5,"rgb(203, 206, 197)"
Porcelain,53,#E9E0D5,"rgb(233, 224, 213)"
Twilight Gray,54,#C8BFB5,"rgb(200, 191, 181)"
Light French Gray,55,#C2C0BB,"rgb(194, 192, 187)"
Classic Sand,56,#D6BCAA,"rgb(214, 188, 170)"
Chinese Red,57,#9E3E33,"rgb(158, 62, 51)"
Jazz Age Coral,58,#F1BFB1,"rgb(241, 191, 177)"
Frostwork,59,#CBD0C2,"rgb(203, 208, 194)"
Alexandrite,60,#598C74,"rgb(89, 140, 116)"
Salon Rose,61,#AB7878,"rgb(171, 120, 120)"
Studio Mauve,62,#C6B9B8,"rgb(198, 185, 184)"
Blue Sky,63,#ABD1C9,"rgb(171, 209, 201)"
Blue Peacock,64,#014E4C,"rgb(1, 78, 76)"
Vogue Green,65,#4B5645,"rgb(75, 86, 69)"
Cascade Green,66,#ACB19F,"rgb(172, 177, 159)"
Belvedere Cream,67,#F0CDA0,"rgb(240, 205, 160)"
Copen Blue,68,#C2CCC4,"rgb(194, 204, 196)"
Rose Tan,69,#CD9C85,"rgb(205, 156, 133)"
Pink Shadow,70,#DEC3B9,"rgb(222, 195, 185)"
Orchid,71,#BC9C9E,"rgb(188, 156, 158)"
Deep Maroon,72,#623F45,"rgb(98, 63, 69)"
Chartreuse,73,#E1D286,"rgb(225, 210, 134)"
Radiant Lilac,74,#A489A0,"rgb(164, 137, 160)"
Holiday Turquoise,75,#8AC6BD,"rgb(138, 198, 189)"
Appleblossom,76,#DAB5B4,"rgb(218, 181, 180)"
Classic French Gray,77,#888782,"rgb(136, 135, 130)"
Sunbeam Yellow,78,#F0D39D,"rgb(240, 211, 157)"
Pinky Beige,79,#C9AA98,"rgb(201, 170, 152)"
Pink Flamingo,80,#CD717B,"rgb(205, 113, 123)"
Skyline Steel,1015,#C6BFB3,"rgb(198, 191, 179)"
Venetian Yellow,1666,#F6E3A1,"rgb(246, 227, 161)"
Icy Lemonade,1667,#F4E8B2,"rgb(244, 232, 178)"
Pineapple Cream,1668,#F2EAC3,"rgb(242, 234, 195)"
Merlot,2704,#51323B,"rgb(81, 50, 59)"
Rockweed,2735,#443735,"rgb(68, 55, 53)"
Charcoal Blue,2739,#3D4450,"rgb(61, 68, 80)"
Mineral Gray,2740,#515763,"rgb(81, 87, 99)"
Rookwood Dark Red,2801,#4B2929,"rgb(75, 41, 41)"
Rookwood Red,2802,#622F2D,"rgb(98, 47, 45)"
Rookwood Terra Cotta,2803,#975840,"rgb(151, 88, 64)"
Renwick Rose Beige,2804,#AF8871,"rgb(175, 136, 113)"
Renwick Beige,2805,#C3B09D,"rgb(195, 176, 157)"
Rookwood Brown,2806,#7F614A,"rgb(127, 97, 74)"
Rookwood Medium Brown,2807,#6E5241,"rgb(110, 82, 65)"
Rookwood Dark Brown,2808,#5F4D43,"rgb(95, 77, 67)"
Rookwood Shutter Green,2809,#303B39,"rgb(48, 59, 57)"
Rookwood Sash Green,2810,#506A67,"rgb(80, 106, 103)"
Rookwood Blue Green,2811,#738478,"rgb(115, 132, 120)"
Rookwood Jade,2812,#979F7F,"rgb(151, 159, 127)"
Downing Straw,2813,#CAAB7D,"rgb(202, 171, 125)"
Rookwood Antique Gold,2814,#A58258,"rgb(165, 130, 88)"
Renwick Olive,2815,#97896A,"rgb(151, 137, 106)"
Rookwood Dark Green,2816,#565C4A,"rgb(86, 92, 74)"
Rookwood Amber,2817,#C08650,"rgb(192, 134, 80)"
Renwick Heather,2818,#8B7D7B,"rgb(139, 125, 123)"
Downing Slate,2819,#777F86,"rgb(119, 127, 134)"
Downing Earth,2820,#887B67,"rgb(136, 123, 103)"
Downing Stone,2821,#A6A397,"rgb(166, 163, 151)"
Downing Sand,2822,#CBBCA5,"rgb(203, 188, 165)"
Rookwood Clay,2823,#9A7E64,"rgb(154, 126, 100)"
Renwick Golden Oak,2824,#96724C,"rgb(150, 114, 76)"
Colonial Revival Green Stone,2826,#A39B7E,"rgb(163, 155, 126)"
Colonial Revival Stone,2827,#A7947C,"rgb(167, 148, 124)"
Colonial Revival Tan,2828,#D3B699,"rgb(211, 182, 153)"
Classical White,2829,#ECE1CB,"rgb(236, 225, 203)"
Classical Gold,2831,#EBB875,"rgb(235, 184, 117)"
Colonial Revival Gray,2832,#B4B9B9,"rgb(180, 185, 185)"
Roycroft Vellum,2833,#E8D9BD,"rgb(232, 217, 189)"
Birdseye Maple,2834,#E4C495,"rgb(228, 196, 149)"
Craftsman Brown,2835,#AE9278,"rgb(174, 146, 120)"
Quartersawn Oak,2836,#85695B,"rgb(133, 105, 91)"
Aurora Brown,2837,#6A4238,"rgb(106, 66, 56)"
Polished Mahogany,2838,#432722,"rgb(67, 39, 34)"
Roycroft Copper Red,2839,#7B3728,"rgb(123, 55, 40)"
Hammered Silver,2840,#978A7F,"rgb(151, 138, 127)"
Weathered Shingle,2841,#937F68,"rgb(147, 127, 104)"
Roycroft Suede,2842,#A79473,"rgb(167, 148, 115)"
Roycroft Brass,2843,#7A6A51,"rgb(122, 106, 81)"
Roycroft Mist Gray,2844,#C2BDB1,"rgb(194, 189, 177)"
Bunglehouse Gray,2845,#988F7B,"rgb(152, 143, 123)"
Roycroft Bronze Green,2846,#575449,"rgb(87, 84, 73)"
Roycroft Bottle Green,2847,#324038,"rgb(50, 64, 56)"
Roycroft Pewter,2848,#616564,"rgb(97, 101, 100)"
Westchester Gray,2849,#797978,"rgb(121, 121, 120)"
Chelsea Gray,2850,#B6B7B0,"rgb(182, 183, 176)"
Sage Green Light,2851,#73705E,"rgb(115, 112, 94)"
New Colonial Yellow,2853,#D9AD7F,"rgb(217, 173, 127)"
Caribbean Coral,2854,#BE795E,"rgb(190, 121, 94)"
Sycamore Tan,2855,#9C8A79,"rgb(156, 138, 121)"
Fairfax Brown,2856,#61463A,"rgb(97, 70, 58)"
Peace Yellow,2857,#EECF9E,"rgb(238, 207, 158)"
Harvest Gold,2858,#D9A06A,"rgb(217, 160, 106)"
Beige,2859,#DFC8B5,"rgb(223, 200, 181)"
Sage,2860,#B3AE95,"rgb(179, 174, 149)"
Avocado,2861,#857C5D,"rgb(133, 124, 93)"
Powder Blue,2863,#89A4AD,"rgb(137, 164, 173)"
Classical Yellow,2865,#F8D492,"rgb(248, 212, 146)"
Snowfall,6000,#E0DEDA,"rgb(224, 222, 218)"
Grayish,6001,#CFCAC7,"rgb(207, 202, 199)"
Essential Gray,6002,#BCB8B6,"rgb(188, 184, 182)"
Proper Gray,6003,#ADA8A5,"rgb(173, 168, 165)"
Mink,6004,#847B77,"rgb(132, 123, 119)"
Folkstone,6005,#6D6562,"rgb(109, 101, 98)"
Black Bean,6006,#403330,"rgb(64, 51, 48)"
Smart White,6007,#E4DBD8,"rgb(228, 219, 216)"
Individual White,6008,#D4CDCA,"rgb(212, 205, 202)"
Imagine,6009,#C2B6B6,"rgb(194, 182, 182)"
Flexible Gray,6010,#B1A3A1,"rgb(177, 163, 161)"
Chinchilla,6011,#867875,"rgb(134, 120, 117)"
Browse Brown,6012,#6E615F,"rgb(110, 97, 95)"
Bitter Chocolate,6013,#4D3C3C,"rgb(77, 60, 60)"
Vaguely Mauve,6015,#D1C5C4,"rgb(209, 197, 196)"
Chaise Mauve,6016,#C1B2B3,"rgb(193, 178, 179)"
Intuitive,6017,#B3A3A5,"rgb(179, 163, 165)"
Enigma,6018,#8B7C7E,"rgb(139, 124, 126)"
Poetry Plum,6019,#6F5C5F,"rgb(111, 92, 95)"
Marooned,6020,#4E3132,"rgb(78, 49, 50)"
Dreamy White,6021,#E3D9D5,"rgb(227, 217, 213)"
Breathless,6022,#D6C2BE,"rgb(214, 194, 190)"
Insightful Rose,6023,#C9B0AB,"rgb(201, 176, 171)"
Dressy Rose,6024,#B89D9A,"rgb(184, 157, 154)"
Socialite,6025,#907676,"rgb(144, 118, 118)"
River Rouge,6026,#76595D,"rgb(118, 89, 93)"
Cordovan,6027,#5F3D3F,"rgb(95, 61, 63)"
Cultured Pearl,6028,#E5DCD6,"rgb(229, 220, 214)"
White Truffle,6029,#D7C8C2,"rgb(215, 200, 194)"
Artistic Taupe,6030,#C3B1AC,"rgb(195, 177, 172)"
Glamour,6031,#B6A09A,"rgb(182, 160, 154)"
Dutch Cocoa,6032,#8C706A,"rgb(140, 112, 106)"
Bateau Brown,6033,#7A5F5A,"rgb(122, 95, 90)"
Arresting Auburn,6034,#5A3532,"rgb(90, 53, 50)"
Gauzy White,6035,#E3DBD4,"rgb(227, 219, 212)"
Angora,6036,#D1C5BE,"rgb(209, 197, 190)"
Temperate Taupe,6037,#BFB1AA,"rgb(191, 177, 170)"
Truly Taupe,6038,#AC9E97,"rgb(172, 158, 151)"
Poised Taupe,6039,#8C7E78,"rgb(140, 126, 120)"
Less Brown,6040,#756761,"rgb(117, 103, 97)"
Otter,6041,#56433B,"rgb(86, 67, 59)"
Hush White,6042,#E5DAD4,"rgb(229, 218, 212)"
Unfussy Beige,6043,#D6C8C0,"rgb(214, 200, 192)"
Doeskin,6044,#C6B3A9,"rgb(198, 179, 169)"
Emerging Taupe,6045,#B8A196,"rgb(184, 161, 150)"
Swing Brown,6046,#947569,"rgb(148, 117, 105)"
Hot Cocoa,6047,#806257,"rgb(128, 98, 87)"
Terra Brun,6048,#5A382D,"rgb(90, 56, 45)"
Gorgeous White,6049,#E7DBD3,"rgb(231, 219, 211)"
Abalone Shell,6050,#DBC7BD,"rgb(219, 199, 189)"
Sashay Sand,6051,#CFB4A8,"rgb(207, 180, 168)"
Sandbank,6052,#C3A497,"rgb(195, 164, 151)"
Reddened Earth,6053,#9C6E63,"rgb(156, 110, 99)"
Canyon Clay,6054,#85594F,"rgb(133, 89, 79)"
Fiery Brown,6055,#5D3831,"rgb(93, 56, 49)"
Polite White,6056,#E9DDD4,"rgb(233, 221, 212)"
Malted Milk,6057,#DECABD,"rgb(222, 202, 189)"
Likeable Sand,6058,#D1B7A8,"rgb(209, 183, 168)"
Interface Tan,6059,#C1A392,"rgb(193, 163, 146)"
Moroccan Brown,6060,#9D7868,"rgb(157, 120, 104)"
Tanbark,6061,#896656,"rgb(137, 102, 86)"
Rugged Brown,6062,#694336,"rgb(105, 67, 54)"
Nice White,6063,#E6DDD5,"rgb(230, 221, 213)"
Reticence,6064,#D9CDC3,"rgb(217, 205, 195)"
Bona Fide Beige,6065,#CBB9AB,"rgb(203, 185, 171)"
Sand Trap,6066,#BBA595,"rgb(187, 165, 149)"
Mocha,6067,#967A6A,"rgb(150, 122, 106)"
Brevity Brown,6068,#715243,"rgb(113, 82, 67)"
French Roast,6069,#4F3426,"rgb(79, 52, 38)"
Heron Plume,6070,#E5E1D8,"rgb(229, 225, 216)"
Popular Gray,6071,#D4CCC3,"rgb(212, 204, 195)"
Versatile Gray,6072,#C1B6AB,"rgb(193, 182, 171)"
Perfect Greige,6073,#B7AB9F,"rgb(183, 171, 159)"
Spalding Gray,6074,#8D7F75,"rgb(141, 127, 117)"
Garret Gray,6075,#756861,"rgb(117, 104, 97)"
Turkish Coffee,6076,#4D3930,"rgb(77, 57, 48)"
Everyday White,6077,#E4DCD4,"rgb(228, 220, 212)"
